RO	42397	***************************************
BR	269583	+NET TELECOM
BR	262405	+Net & Telecom
BR	267554	+Net & Telecom
BR	266509	- CONECTMAIS -
US	112	-Reserved AS-
US	22644	-Reserved AS-
US	393241	-Reserved AS-
Unknown	1013	-Reserved AS-
Unknown	10425	-Reserved AS-
Unknown	10475	-Reserved AS-
Unknown	10926	-Reserved AS-
Unknown	10931	-Reserved AS-
Unknown	10981	-Reserved AS-
Unknown	11011	-Reserved AS-
Unknown	11044	-Reserved AS-
Unknown	11223	-Reserved AS-
Unknown	11316	-Reserved AS-
Unknown	11490	-Reserved AS-
Unknown	11610	-Reserved AS-
Unknown	11636	-Reserved AS-
Unknown	11945	-Reserved AS-
Unknown	11969	-Reserved AS-
Unknown	11974	-Reserved AS-
Unknown	12176	-Reserved AS-
Unknown	12232	-Reserved AS-
Unknown	12240	-Reserved AS-
Unknown	13317	-Reserved AS-
Unknown	13339	-Reserved AS-
Unknown	13492	-Reserved AS-
Unknown	1379	-Reserved AS-
Unknown	13980	-Reserved AS-
Unknown	14076	-Reserved AS-
Unknown	14350	-Reserved AS-
Unknown	14428	-Reserved AS-
Unknown	14439	-Reserved AS-
Unknown	14461	-Reserved AS-
Unknown	14545	-Reserved AS-
Unknown	14552	-Reserved AS-
Unknown	14594	-Reserved AS-
Unknown	14651	-Reserved AS-
Unknown	15037	-Reserved AS-
Unknown	15115	-Reserved AS-
Unknown	15132	-Reserved AS-
Unknown	15178	-Reserved AS-
Unknown	15182	-Reserved AS-
Unknown	15200	-Reserved AS-
Unknown	15220	-Reserved AS-
Unknown	15329	-Reserved AS-
Unknown	1636	-Reserved AS-
Unknown	16615	-Reserved AS-
Unknown	16666	-Reserved AS-
Unknown	16769	-Reserved AS-
Unknown	16804	-Reserved AS-
Unknown	16809	-Reserved AS-
Unknown	16877	-Reserved AS-
Unknown	17033	-Reserved AS-
Unknown	17341	-Reserved AS-
Unknown	18604	-Reserved AS-
Unknown	18691	-Reserved AS-
Unknown	18781	-Reserved AS-
Unknown	18796	-Reserved AS-
Unknown	18805	-Reserved AS-
Unknown	18821	-Reserved AS-
Unknown	18976	-Reserved AS-
Unknown	19081	-Reserved AS-
Unknown	19140	-Reserved AS-
Unknown	19142	-Reserved AS-
Unknown	19176	-Reserved AS-
Unknown	19330	-Reserved AS-
Unknown	19359	-Reserved AS-
Unknown	19521	-Reserved AS-
Unknown	19533	-Reserved AS-
Unknown	19658	-Reserved AS-
Unknown	19700	-Reserved AS-
Unknown	19708	-Reserved AS-
Unknown	19926	-Reserved AS-
Unknown	20089	-Reserved AS-
Unknown	20118	-Reserved AS-
Unknown	20190	-Reserved AS-
Unknown	20200	-Reserved AS-
Unknown	20227	-Reserved AS-
Unknown	20421	-Reserved AS-
Unknown	20443	-Reserved AS-
Unknown	20447	-Reserved AS-
Unknown	21584	-Reserved AS-
Unknown	21666	-Reserved AS-
Unknown	21695	-Reserved AS-
Unknown	21714	-Reserved AS-
Unknown	21861	-Reserved AS-
Unknown	21986	-Reserved AS-
Unknown	22063	-Reserved AS-
Unknown	22160	-Reserved AS-
Unknown	22226	-Reserved AS-
Unknown	22271	-Reserved AS-
Unknown	22272	-Reserved AS-
Unknown	22484	-Reserved AS-
Unknown	22538	-Reserved AS-
Unknown	22539	-Reserved AS-
Unknown	22694	-Reserved AS-
Unknown	22733	-Reserved AS-
Unknown	22736	-Reserved AS-
Unknown	22743	-Reserved AS-
Unknown	22774	-Reserved AS-
Unknown	22830	-Reserved AS-
Unknown	23176	-Reserved AS-
Unknown	23194	-Reserved AS-
Unknown	23288	-Reserved AS-
Unknown	23411	-Reserved AS-
Unknown	23425	-Reserved AS-
Unknown	23448	-Reserved AS-
Unknown	25600	-Reserved AS-
Unknown	25641	-Reserved AS-
Unknown	25800	-Reserved AS-
Unknown	25831	-Reserved AS-
Unknown	25879	-Reserved AS-
Unknown	25978	-Reserved AS-
Unknown	26015	-Reserved AS-
Unknown	26016	-Reserved AS-
Unknown	26018	-Reserved AS-
Unknown	26051	-Reserved AS-
Unknown	26137	-Reserved AS-
Unknown	26140	-Reserved AS-
Unknown	26286	-Reserved AS-
Unknown	26295	-Reserved AS-
Unknown	26341	-Reserved AS-
Unknown	26513	-Reserved AS-
Unknown	26520	-Reserved AS-
Unknown	26643	-Reserved AS-
Unknown	26663	-Reserved AS-
Unknown	26682	-Reserved AS-
Unknown	26701	-Reserved AS-
Unknown	26768	-Reserved AS-
Unknown	26799	-Reserved AS-
Unknown	26861	-Reserved AS-
Unknown	26922	-Reserved AS-
Unknown	26986	-Reserved AS-
Unknown	27174	-Reserved AS-
Unknown	27180	-Reserved AS-
Unknown	27289	-Reserved AS-
Unknown	27291	-Reserved AS-
Unknown	27335	-Reserved AS-
Unknown	27384	-Reserved AS-
Unknown	27426	-Reserved AS-
Unknown	27470	-Reserved AS-
Unknown	29763	-Reserved AS-
Unknown	29829	-Reserved AS-
Unknown	29855	-Reserved AS-
Unknown	29947	-Reserved AS-
Unknown	30004	-Reserved AS-
Unknown	30006	-Reserved AS-
Unknown	30037	-Reserved AS-
Unknown	30104	-Reserved AS-
Unknown	30155	-Reserved AS-
Unknown	30265	-Reserved AS-
Unknown	30307	-Reserved AS-
Unknown	30442	-Reserved AS-
Unknown	30550	-Reserved AS-
Unknown	30654	-Reserved AS-
Unknown	30699	-Reserved AS-
Unknown	31781	-Reserved AS-
Unknown	31813	-Reserved AS-
Unknown	32021	-Reserved AS-
Unknown	32103	-Reserved AS-
Unknown	32121	-Reserved AS-
Unknown	32187	-Reserved AS-
Unknown	32203	-Reserved AS-
Unknown	32282	-Reserved AS-
Unknown	32306	-Reserved AS-
Unknown	32346	-Reserved AS-
Unknown	32358	-Reserved AS-
Unknown	32467	-Reserved AS-
Unknown	32497	-Reserved AS-
Unknown	32534	-Reserved AS-
Unknown	32581	-Reserved AS-
Unknown	32591	-Reserved AS-
Unknown	32596	-Reserved AS-
Unknown	32772	-Reserved AS-
Unknown	32826	-Reserved AS-
Unknown	33017	-Reserved AS-
Unknown	33023	-Reserved AS-
Unknown	33042	-Reserved AS-
Unknown	33051	-Reserved AS-
Unknown	33123	-Reserved AS-
Unknown	33137	-Reserved AS-
Unknown	33232	-Reserved AS-
Unknown	33245	-Reserved AS-
Unknown	33394	-Reserved AS-
Unknown	33413	-Reserved AS-
Unknown	33417	-Reserved AS-
Unknown	33484	-Reserved AS-
Unknown	33625	-Reserved AS-
Unknown	33628	-Reserved AS-
Unknown	33679	-Reserved AS-
Unknown	33684	-Reserved AS-
Unknown	33732	-Reserved AS-
Unknown	3577	-Reserved AS-
Unknown	35948	-Reserved AS-
Unknown	36002	-Reserved AS-
Unknown	36267	-Reserved AS-
Unknown	36283	-Reserved AS-
Unknown	36357	-Reserved AS-
Unknown	36465	-Reserved AS-
Unknown	36774	-Reserved AS-
Unknown	393266	-Reserved AS-
Unknown	393314	-Reserved AS-
Unknown	393320	-Reserved AS-
Unknown	393377	-Reserved AS-
Unknown	393446	-Reserved AS-
Unknown	393491	-Reserved AS-
Unknown	393583	-Reserved AS-
Unknown	393588	-Reserved AS-
Unknown	393612	-Reserved AS-
Unknown	394076	-Reserved AS-
Unknown	394156	-Reserved AS-
Unknown	394183	-Reserved AS-
Unknown	394293	-Reserved AS-
Unknown	394376	-Reserved AS-
