US	30607	302-DIRECT-MEDIA-ASN
PA	269922	68 MEDIA S.A.
AU	9342	ABCNET-AS-AP Australian Broadcasting Commission
ID	7587	ACCESSNETWORKS TRANSMEDIA-
PH	137226	ACCTN-AS-AP ANGELES CITY CABLE TELEVISION NETWORK, INC.
ID	138890	ACEHLINK-AS-ID PT Acehlink Media
BD	138541	ACTIVE-AS-AP Active Multimedia
ID	135439	ADNET-AS-ID PT ADNET MEDIA INDONESIA
HR	5620	ADRIAMEDIA-AS
AU	55848	AI-MEDIA-AS-AP Access Innovation Media
IN	134326	AIRDESIGNBROADCAST-AS Airdesign Broadcast Media Pvt Ltd
IN	24560	AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services
ID	38759	AIX-NAP-AS2-ID TRANSMEDIA INDONESIA, PT
IN	140186	AJAXMEDI-AS-IN Amt Media Tech
IT	197589	ALFANEWS
US	1440	ALFORD-MEDIA-SERVICES-DAL-TX
RU	59482	ALIANS-MEDIA-AS
ID	141078	AMANNA-AS-ID PT Amanna Media Link
BD	142287	AMBN-AS-AP A2Z Media Brodband Net
PL	206518	AMEDIA
FR	204426	AMEDIASOLUTIONS
AU	45278	ANC-AS-AP Australian News Channel Pty Ltd
ID	24201	ANDALASMEDIA-AS-ID PT. Andalas Media Informatika
ID	55690	ANDIRA-AS-ID PT Andira Infomedia
PL	52195	AP-MEDIA-AS
PL	197600	APLUSC-AS MEDIA-PRESS.TV S.A.
AU	55472	APNGTSNET-AS-AP APN News & Media
US	208379	APTN THE ASSOCIATED PRESS
IT	34731	ARCHIMEDIA-AS
PL	202399	ART-MEDIA-SKAWINA
ID	136861	ARTAMEDIANET-AS-ID PT. ARTAMEDIA CITRA TELEMATIKA INDONESIA
IT	212659	ARTEMISMEDIASRL
DE	8893	ARTFILES-AS Artfiles New Media GmbH
US	16406	AS-INTERMEDIA
US	19780	AS-INTERMEDIA2
BD	135420	AS-MEDIAONLINE Media Online
US	27616	AS-NEWSCHOOL
KZ	62062	AS-OPENMEDIA
ID	18052	ASIAKOMNET-ID-AP Asiakomnet Multimedia, PT
HK	135398	ASIATECH-HK E-Tech Media Company Data Centre
SG	23920	ASIATEL-AS-AP Asia Mediatel Pte Ltd
UA	197576	ASINFOMEDIA-NET
RU	198616	ASMEDIAKVANT
CZ	56988	ASMOBILETELEVISIONKG
RO	8930	ASN-MEDIAFAX
IT	15472	ASN-NEWSOFT TERRALINK - Internet Tecnology Company
GB	28695	ASN-TRMEDIAAS
AT	43957	ASN-WNTNEWMEDIA
